type,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
2,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0
1,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0
2,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0
7,1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0
2,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0
2,1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08
1,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0
2,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25
1,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0
5,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51
7,1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0
